address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"Sarjapura - Marathahalli Outer Ring Road, Kadubeesanahalli, Bellandur Post, Bangalore, Bengaluru, Bellandur, Bangalore, Bengaluru",Re:fuel- Aloft Bengaluru Cessna Business Park,No,No,,0,Bellandur,"Cafe, Bakery",,"Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich","1,000",Desserts,Bellandur
"17, Adjacent To Kaikondrahalli Lake, Sarjapur Road, Bangalore",Stoner,Yes,No,4.3/5,556,Sarjapur Road,"Dessert Parlor, Cafe","Burgers, Cheesy Chicken Burger, Chicken Chilli Pizza, Monster Burger, Peri Peri Chicken Burger, Butter Chicken Pizza, Mojito","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,,
"10/3, Devarabeesanahali, Outer Ring Road, Opposite Embassy Tech Park, Marathahalli, Bangalore",Light House Cafe,Yes,No,3.7/5,94,Marathahalli,Cafe,Chicken Sandwich,"Cafe, Beverages, Continental, North Indian, Chinese",700,,
"KAIKONDRAHALLI SARJAPUR - BANGALORE First Floor, Kaikondrahalli, 560035",Cafe Coffee Day,No,No,3.1/5,7,Sarjapur Road,Cafe,,"Cafe, Fast Food",900,Desserts,Bellandur
"95/2, Shobha Lakeview Clubhouse, Margosa Avenue, Green Glen Layout, Bellandur, Bangalore",Story Time,No,No,3.7/5,15,Bellandur,"Cafe, Quick Bites",,"North Indian, South Indian, Andhra, Cafe",500,Dine-out,Bellandur
"Mint Plaza, Palm Avenue, Green Glen Layout, Bellandur, Bangalore",The Salad Studio,Yes,No,4.0/5,107,Bellandur,Cafe,"Salads, Salad, Sandwiches, Chicken Grill","Cafe, Healthy Food, Salad",400,Dine-out,Bellandur
"SJR Complex, Beside Gear International School, Behind Adarsh Palm Retreat, Doddakannelli, Bellandur, Bangalore",Mont Blanc Cafe,Yes,No,3.8/5,35,Bellandur,Cafe,,"Cafe, Bakery, Italian",650,Dine-out,Bellandur
"Embassy Tech Village, Outer Ring Road, Deverabesanahalli, Bellandur, Bangalore",Cafe Jezve,No,No,4.0/5,23,Bellandur,Cafe,,Cafe,500,Dine-out,Bellandur
"Ground Floor, RMZ Eco World, Bellandur, Bangalore",Starbucks,No,No,3.9/5,38,Bellandur,"Cafe, Food Court",,"Cafe, Desserts",700,Dine-out,Bellandur
"Adarsh Palm Retreat, Bellandur Flyover, Bellandur, Bangalore",Puro Gusto,No,No,3.9/5,25,Bellandur,Cafe,,Cafe,400,Dine-out,Bellandur
"The Market Place, Campus 4 A & B, RMZ Eco world, Outer Ring Road, Varthur Hobli, Bellandur, Bangalore",Tata Cha,Yes,No,3.6/5,34,Bellandur,"Beverage Shop, Cafe",,"Tea, Fast Food, Cafe",400,Dine-out,Bellandur
"Salarpuria Softzone, Outer Ring Road",Cafe Coffee Day,Yes,No,3.1/5,48,Bellandur,Cafe,Hot Coffee,"Cafe, Fast Food",900,Dine-out,Bellandur
"Pritech Park Food Court, RMZ Ecospace, Bellandur, Bangalore",Tea Totallers,Yes,No,2.9/5,19,Bellandur,Cafe,,"Cafe, Continental, Tea",500,Dine-out,Bellandur
"Pritech park, Lower Ground Floor, Food Court, RMZ Ecospace, Bellandur, Bangalore",The Brewing Bean,No,No,3.7/5,47,Bellandur,Cafe,"Coffee, Pasta, Fish",Cafe,500,Dine-out,Bellandur
"Opposite Assez Apartment, Gear School Road, Bellandur, Bangalore",Cuppa,No,No,3.7/5,33,Bellandur,Cafe,,"Cafe, Fast Food",550,Dine-out,Bellandur
"Sarjapura - Marathahalli Outer Ring Road, Kadubeesanahalli, Bellandur Post, Bangalore, Bengaluru, Bellandur, Bangalore, Bengaluru",Re:fuel- Aloft Bengaluru Cessna Business Park,No,No,,0,Bellandur,"Cafe, Bakery",,"Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich","1,000",Dine-out,Bellandur
"RMZ Eco Space, Varthur Hobli, Bellandur, Bangalore",Costa Coffee,No,No,3.0/5,6,Bellandur,Cafe,,"Cafe, Fast Food",500,Dine-out,Bellandur
"Next to New Horizon Gurukul School, Behind Cessna Business Park, Bellandur, Bangalore",Cafe Olive,No,No,3.8/5,114,Bellandur,Cafe,"Pasta, Pizza, Burgers, Sandwiches, Greek Salad, Sandwich, French Fries","Cafe, European, Beverages, Italian",550,,
"35, 1st Cross, Outer Ring Road, Bellandur, Bangalore",Cafe Thulp,Yes,Yes,4.0/5,341,Bellandur,Cafe,"Burgers, Fries, Beef Burger, Pasta, Salad, Mudpie, Falafel Burger","Cafe, Burger, Italian, Salad","1,000",Dine-out,Bellandur
"Ground Floor, Sri Renuka Complex, Opposite Fire Station, Kaikondrahalli, Sarjapur Road, Bangalore",Zoey's,Yes,No,4.3/5,894,Sarjapur Road,Cafe,"Waffles, Sandwiches, Burgers, Pasta Primavera, Veg Burger, Omelette, Chicken Sausages","Cafe, Italian, Continental, Burger",600,Dine-out,Bellandur
"1630/1504/05, Ground Floor, Kasavanhalli Hobli, Behind Bata Show Room, Off Sarjapur Road, Bangalore",Eating Love,Yes,No,4.3/5,149,Sarjapur Road,Cafe,"Pizza, White Sauce Pasta","Cafe, Italian, Pizza",800,Dine-out,Bellandur
"10/3, Devarabeesanahali, Outer Ring Road, Opposite Embassy Tech Park, Marathahalli, Bangalore",Light House Cafe,Yes,No,3.7/5,94,Marathahalli,Cafe,Chicken Sandwich,"Cafe, Beverages, Continental, North Indian, Chinese",700,,
"71/1A, Lingappa Reddy Complex, Carmelaram Post, Sarjapur Main Road, Sarjapur Road, Bangalore",Chaai Resto,Yes,No,4.1/5,33,Sarjapur Road,Cafe,,"Cafe, Rolls, Fast Food",200,Dine-out,Bellandur
"Play Arena, Central Jail Road, Off Sarjapur Road, Sarjapur Road, Bangalore",The Shed,No,No,,0,Sarjapur Road,Cafe,,"Cafe, Fast Food",400,Dine-out,Bellandur
"The Elanza Hotel, 88/2 Richmond Road, Richmond Road, Bangalore",Cafe @ Elanza,No,No,3.7/5,145,Richmond Road,"Casual Dining, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta","Chinese, North Indian, Cafe","1,000",,
"42, Church Street, Bangalore",BLOW,Yes,Yes,4.2/5,935,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750,,
"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",Cafe Azzure,Yes,Yes,4.3/5,2660,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200",,
"57, Samsung Opera House, Junction of Brigade Road & Residency Road, Brigade Road, Bangalore",The Flying Squirrel,No,No,4.0/5,24,Brigade Road,Cafe,,"Cafe, Bakery, Beverages, Burger, Continental",450,Cafes,Brigade Road
"15 K-1, D Block, Next to St. Patrick's Church, Opposite to Printo",Trick Or Treat,No,No,4.2/5,618,Brigade Road,Cafe,"Burgers, Sandwich, Peri Peri Chicken Satay, Fries, Nachos, Sandwiches, Pesto Pasta","Cafe, Burger, Continental, Pizza, Steak",500,Cafes,Brigade Road
"17/1, Raheja Plaza, Commissariat Road, D'souza Circle, Opposite Lifestyle, Brigade Road, Bangalore",Fatso's,Yes,No,3.8/5,72,Brigade Road,Cafe,"Sandwich, Garlic Bread, Brownie, Potato Wedges, French Fries","Cafe, American, Italian, Burger",650,Cafes,Brigade Road
"2nd Floor, Garuda Mall, Brigade Road, Bangalore",Cafe Coffee Day,No,No,3.2/5,9,Brigade Road,Cafe,,"Cafe, Fast Food",600,Cafes,Brigade Road
"5, 5th Floor, Brigade Royal Hotel, Brigade Road, Bangalore",Hashtag Cafe,No,No,2.8/5,43,Brigade Road,Cafe,,"Cafe, Continental, European, Italian",700,Cafes,Brigade Road
"1st Floor, St.Patricks Complex, Brigade Road, Bangalore",Smokie Brownie,Yes,No,3.2/5,7,Brigade Road,Cafe,,Cafe,600,Cafes,Brigade Road
"Mango Hotels - Purple Brigade 27, Rest House Road, Off Brigade Road, Bangalore",X-tra Cafe,No,No,,0,Brigade Road,Cafe,,"Cafe, Fast Food",400,Cafes,Brigade Road
"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Bon Sante,Yes,No,3.6/5,104,Brigade Road,Cafe,"Burgers, Sandwiches, Fries, Pasta, Tea, Chicken Curry, Fried Rice","Cafe, Continental, Italian",800,,
"Second Floor, Garuda Mall, Magrath Road",Kalmane Koffees,No,No,3.6/5,46,Brigade Road,Cafe,"Filter Coffee, Cafe Mocha, Blueberry Muffin",Cafe,350,Cafes,Brigade Road
"19, Church Street, Bangalore",Brik Oven,No,No,4.6/5,2257,Church Street,Cafe,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza","Cafe, Pizza, Beverages","1,100",,
"15, Convent Road, Off Residency Road, Residency Road, Bangalore",Green Theory,Yes,Yes,4.2/5,2838,Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800,Cafes,Brigade Road
"22, St. Marks Road, Bangalore",Truffles,No,No,4.5/5,3568,St. Marks Road,Cafe,"Burgers, Pasta, Mocktails, Cheese Burger, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika","Cafe, American, Burger, Steak",900,,
"33, High Gates Hotel, Church Street, Bangalore",The White Room - Coffee & Kitchen,No,Yes,4.0/5,1701,Church Street,Cafe,"Mushroom Quiche, Chicken Quiche, Coffee, Chocolate Milkshake, Caramel Frappe, Espresso, Tea","Cafe, Continental, American, Desserts","1,000",,
"2, Church Street, Bangalore",Matteo Coffea,No,No,4.3/5,2635,Church Street,Cafe,"Coffee, Pasta, Donut, Salads, Choco Brownie Shake, Tiramisu Cheesecake, Sandwiches",Cafe,600,,
"24/1, Lavelle Road, Bangalore",Glen's Bakehouse,Yes,No,4.4/5,1084,Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600,,
"Vivanta By Taj, 41/3, MG Road, Bangalore",Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1/5,563,MG Road,"Casual Dining, Cafe","Paneer Lababdar, Sandwiches, Oysters, Paratha, Coffee, Jeera Rice, Biryani","North Indian, Italian, South Indian, Continental, Cafe, Salad","2,500",Cafes,Brigade Road
"46, Church Street, Bangalore",Smally's Resto Cafe,Yes,No,4.3/5,3547,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,Cafes,Brigade Road
"JW Marriott Bengaluru, 24/1, Vittal Mallya Road, Lavelle Road, Bangalore",Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3/5,521,Lavelle Road,"Bakery, Cafe","Coffee, Fruit Tart, Croissants, Eclair, Sandwich, Nachos, Tiramisu","Salad, Bakery, Cafe, Sandwich, Italian, Burger","1,400",Cafes,Brigade Road
"29, Ulsoor Road, Opposite Salarpuria Windsor, Ulsoor, Bangalore",Cafe Kaara,No,No,4.2/5,160,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Fries, Pesto Pasta","Cafe, Salad, Desserts, Pizza",750,Cafes,Brigade Road
"60/1, Miyajima House, 3rd Floor, 2nd Cross, Residency Road, Bangalore",Japan Travel Cafe Azuki,No,No,4.3/5,67,Residency Road,Cafe,"Miso Soup, Tempura","Cafe, Japanese",400,Cafes,Brigade Road
"9/3, Prestige Pearl House, Museum Road, Church Street, Bangalore",Little Green Cafe,No,No,4.3/5,786,Church Street,"Cafe, Casual Dining","Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900,,
"18, First Floor, Ramanashree Arcade, MG Road, Bangalore",Fabcafe,Yes,Yes,4.1/5,54,MG Road,Cafe,,"Cafe, Healthy Food",800,Cafes,Brigade Road
"34/1-2, Meanee Avenue Tank Road, Sivanchetty Road, Ulsoor, Bangalore",Skoolroom,Yes,No,4.3/5,566,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,Cafes,Brigade Road
"89, Kannan Building, MG Road, Bangalore",Lakeview Milkbar,No,No,4.0/5,1443,MG Road,"Dessert Parlor, Cafe","Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers","Desserts, Cafe, Fast Food",500,Cafes,Brigade Road
"1A, Church Street, Bangalore",Wolf'ish,Yes,No,4.1/5,460,Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700,,
"G-18, Kedia Arcade, 92, Infantry Road, Bangalore",Peppa Zzing,Yes,No,4.3/5,1133,Infantry Road,Cafe,"Burgers, Pasta, Cheesy Fries, Beef Burger, Ice Tea, Steak Burger, Lamb","Cafe, Fast Food, Burger",800,Cafes,Brigade Road
"105, Double Road, Shanti Nagar, Bangalore",The Courtyard,No,Yes,3.9/5,296,Shanti Nagar,Cafe,"Hot Chocolate, Sandwiches, Garden Pizza, Pasta, Cappuccino, Garlic Bread, Sunday Morning Breakfast","Cafe, Italian",750,Cafes,Brigade Road
"5, Inside woodland Hotel, Rajarammohan Roy Road, Richmond Road, Bangalore",Marzipan @ The Bohemian House,Yes,No,4.2/5,50,Richmond Road,Cafe,,Cafe,700,Cafes,Brigade Road
"21, Prestige Copper Arch, Next to Safina Plaza, Infantry Road, Bangalore",Cafe Imroze,Yes,No,3.6/5,95,Infantry Road,"Cafe, Casual Dining","Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos","Cafe, Burger, Italian, Fast Food",650,Cafes,Brigade Road
"Ground Floor, Ramanashree Arcade, MG Road, Bangalore",Starbucks,No,No,3.8/5,34,MG Road,Cafe,,"Cafe, Desserts",700,Cafes,Brigade Road
"119, Annaswamy Mudaliar Road, Opposite Ulsoor Lake, Ulsoor, Bangalore",KAARA BY THE LAKE,No,No,4.0/5,47,Ulsoor,Cafe,"Coffee, Pizza, Pasta, Key Lime Pie","Cafe, Italian, Coffee",750,Cafes,Brigade Road
"6/2, Primrose Road, MG Road, Bangalore",Happy Belly Bakes,Yes,No,4.2/5,115,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500,Cafes,Brigade Road
"Cinnamon, Ground Floor, 24 Gangadhar Chetty Road, Opposite RBNAMS Ground, Ulsoor, Bangalore",Cafe Cassia& Deli,No,No,4.2/5,115,Ulsoor,"Casual Dining, Cafe","Coffee, Pasta, Tea","Lebanese, Mediterranean, Cafe","1,000",Cafes,Brigade Road
"40/2, Sri ML Subbaraju Road, Shantalanagar, Sampangi Rama Nagar, Lavelle Road, Bangalore",The Blackboard Bakery,No,Yes,3.7/5,91,Lavelle Road,"Cafe, Bakery","Pancakes, Sandwich, Salad, Coffee, Burgers","Cafe, Bakery, Continental","1,000",Cafes,Brigade Road
"G8/9/10, Ashoka Plaza, Kamaraj Road, Commercial Street, Bangalore",The Chocolate Heaven,No,No,NEW,0,Commercial Street,"Dessert Parlor, Cafe",,"Desserts, Cafe",600,Cafes,Brigade Road
"4, Good Earth Store, Former Cinnamon Building, Lavelle Road, Bangalore",Fresh Pressery Cafe,No,No,4.1/5,104,Lavelle Road,"Cafe, Quick Bites","Salads, Sandwiches, Arugula Salad, Pasta, Avocado Sandwich, Protein Smoothie, Spaghetti","Cafe, Italian, Healthy Food","1,200",Cafes,Brigade Road
"G-005, City Centre, 28/4, Church Street, Bangalore",Tata Cha,Yes,No,3.9/5,66,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500,Cafes,Brigade Road
"41/42, Residency Road, Bangalore Shanthala Nagar, Ashok Nagar, Residency Road",Driven Cafe,Yes,No,3.4/5,122,Residency Road,Cafe,"Coffee, Fries, Cappuccino, Margherita Pizza","Cafe, Beverages, Fast Food",600,Cafes,Brigade Road
"65, Blue Moon Complex, Opposite MG Road Metro Station, MG Road, Bangalore",Soul Cafe,No,Yes,3.9/5,315,MG Road,Cafe,"Mocktails, Peri Peri Chicken, Coffee Hazelnut, Oreo Shake, Nachos, White Sauce Pasta, Ice Tea","Cafe, Continental, Italian",800,Cafes,Brigade Road
"4/4, Shaughnessy Road, Opposite Divyashree Chambers, Shanti Nagar, Bangalore",Barista,No,No,3.7/5,35,Shanti Nagar,Cafe,,Cafe,300,Cafes,Brigade Road
"Conrad Bengaluru, Kensington Road, Ulsoor, Bangalore",The Lobby Brew - Conrad Bengaluru,No,Yes,3.8/5,25,Ulsoor,Cafe,,"Cafe, North Indian, Fast Food","2,200",Cafes,Brigade Road
"The Elanza Hotel, 88/2 Richmond Road, Richmond Road, Bangalore",Cafe @ Elanza,No,No,3.7/5,145,Richmond Road,"Casual Dining, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta","Chinese, North Indian, Cafe","1,000",,
"22, Amoeba Complex, Church Street, Bangalore",Cafe 22,No,No,3.0/5,11,Church Street,Cafe,,"Cafe, Fast Food",700,Cafes,Brigade Road
"1st Floor, MG Road Metro Station, Church Street Entrance, MG Road, Bangalore",Chai Ki Tapri,No,No,3.7/5,16,MG Road,Cafe,,Cafe,250,Cafes,Brigade Road
"G-008, The Excellency Building, Opposite to Bank of India, Papanna Street, St. Marks Road, Bangalore",Cafe Aladdin,No,No,3.9/5,74,St. Marks Road,Cafe,Friendly Staff,"Cafe, Chinese",500,Cafes,Brigade Road
"The Ambara, 22, Annaswami Mudaliar Road, Near Ulsoor Lake, Ulsoor, Bangalore",Cafe Cerrise,No,No,3.8 /5,99,Ulsoor,Cafe,"Bannoffee Pie, Pasta, Sandwiches, Salsa, Sandwich, Salads, Pita Bread","Cafe, Continental, Salad",600,,
Church Street,Rasta,No,No,,0,Church Street,"Bar, Cafe",,"Continental, Cafe","1,000",Cafes,Brigade Road
"Lal Bagh Main Road, Sampangi Rama Nagar, Near Shanti Nagar, Bangalore",Bread and Circus,Yes,No,3.7/5,50,Shanti Nagar,Cafe,,"Cafe, Fast Food, Pizza, Burger",550,Cafes,Brigade Road
"23, HKP Road Broadway",Savera Cafe,No,No,3.7/5,11,Shivajinagar,Cafe,,Cafe,50,Cafes,Brigade Road
"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",Aubree,Yes,No,,0,Shivajinagar,"Cafe, Bakery",,"Cafe, Bakery",400,Cafes,Brigade Road
"2, Dickenson Road, FM Cariappa Colony, Sivanchetti Gardens, Commercial Street, Bangalore",Norsha Caffe,Yes,No,3.3/5,6,Commercial Street,Cafe,,Cafe,400,Cafes,Brigade Road
"Opposite BMTC Bus Stand, Shanti Nagar, Bangalore",Swati Cafe,No,No,2.9/5,8,Shanti Nagar,Cafe,,"Cafe, Fast Food",500,Cafes,Brigade Road
"Mahalakshmi Chambers, MG Road, Bangalore",Little Bites,No,No,3.6/5,7,MG Road,"Cafe, Quick Bites",,"Cafe, Fast Food",200,Cafes,Brigade Road
"D-7, Devatha Plaza, Shanthala Nagar, Ashok Nagar, Residency Road, Bangalore",Dad's Coffee Club,No,No,,0,Residency Road,Cafe,,"North Indian, South American, Cafe",200,Cafes,Brigade Road
"Lower walkway, Rangoli Metro Art Center, Boulevard, MG Road, Bangalore",Dasaprakash Cafe,No,No,3.1/5,10,MG Road,Cafe,,Cafe,400,Cafes,Brigade Road
"#10 B, Ground floor , Devatha Plaza, Residency road, Residency Road, Bangalore",The Bao Belly,No,No,3.3/5,9,Residency Road,Cafe,,Cafe,400,Cafes,Brigade Road
"Hyatt Centric MG Road 1/1, Swami Vivekananda Road, Ulsoor, Bangalore",The Corner - Hyatt Centric MG Road,No,No,,0,Ulsoor,Cafe,,"Cafe, Desserts, Fast Food","1,000",Cafes,Brigade Road
"19, Mantho Convention Center, Shanti Nagar, Bangalore",X Cafe,No,No,NEW,0,Shanti Nagar,Cafe,,"American, Cafe, Chinese, Italian, Desserts",400,Cafes,Brigade Road
"1st Floor, 1 MG Road Mall, Trinity Circle, Opposite Taj Vivanta, MG Road, Bangalore",The Coffee Bean & Tea Leaf,Yes,No,3.8/5,260,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700,Cafes,Brigade Road
"4/1, Brunton Road, MG Road, Bangalore",Berrylicious Cafe,Yes,No,4.1/5,124,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Cafes,Brigade Road
"The Bohemian House, 5, Raja Ram Mohan Roy Road, Richmond Road, Bangalore",Third Wave Coffee Roasters @ The Bohemian House,No,No,,0,Richmond Road,Cafe,,"Cafe, Continental, Desserts",800,Cafes,Brigade Road
"18, Ali Askar Road, Cunningham Road, Bangalore",Hammered,Yes,Yes,4.7/5,4639,Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe","1,300",,
"18/3, Ali Askar Road, Near Kingfisher Airlines Office, Cunningham Road, Bangalore",Dolci Desserts,Yes,No,4.3/5,652,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750,Cafes,Brigade Road
"The Hatworks Boulevard, 32, Cunningham Road, Bangalore",The Culinarium,No,No,3.7/5,19,Vasanth Nagar,"Cafe, Dessert Parlor",,"Cafe, Desserts, Beverages","1,100",Cafes,Brigade Road
"2, Shah Sultan Complex, Cunningham Road, Bangalore",Infinitea Tea Room & Tea Store,Yes,Yes,4.3/5,858,Cunningham Road,"Casual Dining, Cafe","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos","1,000",Cafes,Brigade Road
"37/1, 3rd, 4th, 5th Floor. Oppsite Sigma Mall, Cunningham Road, Bangalore",Mudpipe Cafe,Yes,No,4.2/5,739,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750,Cafes,Brigade Road
"50, Little Plaza, Cunningham Road",Chels Cafe,Yes,No,3.5/5,20,Cunningham Road,Cafe,,"Cafe, Burger",500,Cafes,Brigade Road
"Citrus Hotels, 34, Cunningham Road, Bangalore",Irene's Cafe & Deli - Citrus Hotels,No,No,,0,Cunningham Road,Cafe,,Cafe,"1,000",Cafes,Brigade Road
"20, Poornima Theatre Compound, 1st Cross J C Road, City Market, Bangalore",Talk Ease,No,No,3.1/5,10,City Market,Cafe,,Cafe,200,Cafes,Brigade Road
"Radisson Blu, 1, Palace Road, Race Course Road, Bangalore",Tea and Wine Lounge,No,No,3.5/5,10,Race Course Road,Cafe,,"Cafe, Tea, Desserts",800,Cafes,Brigade Road
"46, Church Street, Bangalore",Smally's Resto Cafe,Yes,No,4.3/5,3547,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,Delivery,Brigade Road
"25/4, Opposite Harley Davidson Showroom, Lavelle Road, Bangalore",Soda Bottle Opener Wala,Yes,Yes,4.4/5,3651,Lavelle Road,"Casual Dining, Irani Cafee","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi","Parsi, North Indian","1,300",,
"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",Cafe Azzure,Yes,Yes,4.3/5,2664,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200",,
"G-005, City Centre, 28/4, Church Street, Bangalore",Tata Cha,Yes,No,3.9/5,67,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500,Delivery,Brigade Road
"18, Ali Askar Road, Cunningham Road, Bangalore",Hammered,Yes,Yes,4.7/5,4657,Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe","1,300",,
"24/1, Lavelle Road, Bangalore",Glen's Bakehouse,Yes,No,4.4/5,1087,Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600,,
"4/1, Brunton Road, MG Road, Bangalore",Berrylicious Cafe,Yes,No,4.1/5,125,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Delivery,Brigade Road
"22, Ulsoor Road, (ground floor of Sunrise Chambers), Bangalore",Marzipan Cafe & Bakery,Yes,No,4.2/5,432,Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek, Beverages",700,Delivery,Brigade Road
"34/1-2, Meanee Avenue Tank Road, Sivanchetty Road, Ulsoor, Bangalore",Skoolroom,Yes,No,4.3/5,570,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,Delivery,Brigade Road
"12th Main Road Junction, Double Road, Indiranagar, Bangalore",Mama Mia!,Yes,No,4.3/5,422,Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400,Delivery,Brigade Road
"166/A 2nd Floor, R.V Road, Above DTDC Office, V.V Puram, Near Minerva Circle, Basavanagudi, Bangalore",Steaming Mugs,Yes,No,3.9/5,241,Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700,Delivery,Brigade Road
"46, 8th Main, Vasanth Nagar, Bangalore",Bangalore Masala House,Yes,No,4.2/5,255,Vasanth Nagar,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500,Delivery,Brigade Road
"15, Convent Road, Off Residency Road, Residency Road, Bangalore",Green Theory,Yes,Yes,4.2/5,2840,Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800,,
